Number,roi,sub-01,sub-02,sub-03,sub-05
322,Control Network,0.13265294,0.21008386,0.18149833,0.14039437
323,Control Network,0.17709926,0.23085482,0.19239944,0.15514946
324,Control Network,0.15550789,0.23170471,0.16965441,0.16971104
325,Control Network,0.17170925,0.19635183,0.1753486,0.17713831
326,Control Network,0.19295591,0.18445772,0.17657948,0.11269732
327,Control Network,0.13825253,0.1552026,0.14480741,0.13313831
328,Control Network,0.190668,0.19194731,0.18628226,0.13956994
329,Control Network,0.18798658,0.21837443,0.22237864,0.15753172
330,Control Network,0.14844914,0.20936094,0.17712356,0.18288657
331,Control Network,0.13738404,0.14410259,0.18798442,0.11871931
332,Control Network,0.106135644,0.18561603,0.12598583,0.10711966
333,Control Network,0.06832481,0.11054391,0.18658096,0.16099668
334,Control Network,0.18362948,0.2375358,0.26373124,0.16757935
335,Control Network,0.1360319,0.24329376,0.25915316,0.25641313
336,Control Network,0.2674807,0.35619247,0.36255237,0.25614575
337,Control Network,0.16305704,0.11781415,0.26382247,0.15232466
338,Control Network,0.2311629,0.21233383,0.19606885,0.14130345
339,Control Network,0.2341084,0.2733933,0.3552515,0.16844794
340,Control Network,0.11645831,0.151538,0.24018021,0.1322124
341,Control Network,0.27994475,0.31948203,0.286118,0.16120683
342,Control Network,0.1563073,0.16027734,0.1760521,0.14293009
343,Control Network,0.20034453,0.2988633,0.28721088,0.14646518
344,Control Network,0.17271826,0.20626286,0.2054379,0.16799495
345,Control Network,0.31146798,0.24777845,0.33114755,0.16513558
346,Control Network,0.14791475,0.18777023,0.14924861,0.14458343
347,Control Network,0.23090464,0.28347477,0.36222976,0.28290713
348,Control Network,0.23342669,0.21970968,0.21589771,0.17485458
349,Control Network,0.17206793,0.1845174,0.17387974,0.11006885
350,Control Network,0.17592414,0.15038393,0.20215754,0.09780257
351,Control Network,0.19495384,0.22016053,0.28936878,0.1586791
352,Control Network,0.16663271,0.20055494,0.17728883,0.1358497
353,Control Network,0.2861498,0.24179374,0.23821235,0.14908199
354,Control Network,0.14710692,0.18466099,0.2038935,0.09092594
355,Control Network,0.24277624,0.20367064,0.27116334,0.15562133
356,Control Network,0.17710304,0.17480648,0.21391384,0.13842759
357,Control Network,0.39040315,0.120516576,0.24880444,0.2045892
358,Control Network,0.08086919,0.1562988,0.1317947,0.08739597
359,Control Network,0.100784466,0.10306367,0.1262162,0.07858825
360,Control Network,0.08796095,0.104962334,0.11809422,0.06353539
361,Control Network,0.2435139,0.2610244,0.21462765,0.26233238
362,Control Network,0.22234133,0.26749048,0.17899866,0.28269285
363,Control Network,0.1922797,0.33342656,0.1969204,0.21059272
364,Control Network,0.14899519,0.34843338,0.28146672,0.15801977
365,Control Network,0.053744797,0.047104027,0.088310204,0.06678609
366,Control Network,0.055727616,0.037738904,0.077838875,0.041838616
367,Control Network,0.079789236,0.08045372,0.11864287,0.05135054
368,Control Network,0.05698012,0.04284722,0.10592131,0.052416053
369,Control Network,0.09100103,0.030474275,0.08827672,0.08425649
370,Control Network,0.048104033,0.04507746,0.08740792,0.04907992
371,Control Network,0.09456881,0.11182753,0.098079324,0.088894375
372,Control Network,0.118604034,0.09701731,0.14936493,0.1208096
373,Control Network,0.15835716,0.2253028,0.19682454,0.12362768
374,Control Network,0.16979021,0.17713435,0.16797663,0.16667564
375,Default Mode Network,0.26601917,0.30915076,0.28958932,0.24370414
376,Default Mode Network,0.21890496,0.27783868,0.27682543,0.20381013
377,Default Mode Network,0.32733414,0.33091894,0.44414344,0.34066483
378,Default Mode Network,0.2284861,0.17431001,0.29641953,0.16495545
379,Default Mode Network,0.28512505,0.33894873,0.25856912,0.27940878
380,Default Mode Network,0.21878064,0.26255387,0.32978642,0.34299976
381,Default Mode Network,0.27807486,0.33991838,0.37068114,0.35035795
382,Default Mode Network,0.22770233,0.28811508,0.2086133,0.16566907
383,Default Mode Network,0.3279508,0.3085556,0.23867823,0.2827063
384,Default Mode Network,0.21580888,0.1526274,0.23379618,0.25933126
385,Default Mode Network,0.2654933,0.2499078,0.26904565,0.26463145
386,Default Mode Network,0.22566755,0.26306736,0.21394648,0.15077077
387,Default Mode Network,0.36696663,0.21894889,0.25934127,0.18746111
388,Default Mode Network,0.28328803,0.31379372,0.24453059,0.23556714
389,Default Mode Network,0.21771842,0.21090971,0.21366797,0.20438671
390,Default Mode Network,0.2031395,0.20242444,0.17087664,0.16996974
391,Default Mode Network,0.2704746,0.18652345,0.27364048,0.19941644
392,Default Mode Network,0.22546977,0.19914114,0.19089419,0.104277864
393,Default Mode Network,0.17325602,0.18792155,0.23532388,0.19539267
394,Default Mode Network,0.38776273,0.19071183,0.2604997,0.13086101
395,Default Mode Network,0.23273331,0.16482337,0.35366246,0.12000064
396,Default Mode Network,0.008081699,0.06135912,0.15203694,0.018239655
397,Default Mode Network,0.35747305,0.31603253,0.34701702,0.29734954
398,Default Mode Network,0.44522437,0.27713886,0.30756772,0.20138726
399,Default Mode Network,0.10633804,0.13774699,0.2589062,0.07705859
400,Default Mode Network,0.4527159,0.24566115,0.41611207,0.3392748
401,Default Mode Network,0.08276146,0.1547042,0.19137678,0.1573937
402,Default Mode Network,0.29782593,0.29090193,0.3734425,0.29704925
403,Default Mode Network,0.23835984,0.3005237,0.3597565,0.30109385
404,Default Mode Network,0.44366595,0.31369784,0.4410896,0.33089387
405,Default Mode Network,0.24604468,0.37263116,0.31336275,0.31679833
406,Default Mode Network,0.3159322,0.29372045,0.4132945,0.35454494
407,Default Mode Network,0.31437048,0.26271537,0.383833,0.40253887
408,Default Mode Network,0.43464407,0.31194863,0.5274476,0.4245624
409,Default Mode Network,0.4448862,0.44813403,0.3851446,0.4003338
